f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8
4.943356385195196268e+00,3.619965809776395105e+01,1.000000000000000000e+00,1.946861625327559153e+01,7.050079745152463495e+00,1.000513757461955606e+02,8.003485533857690015e+00,4.859136544446974959e+00,1.739082815771375223e+01,5.000056056042853356e+02,9.794895198627955324e-01
4.943356385195196268e+00,3.619965809776395105e+01,1.000000000000000000e+00,1.946861625327559153e+01,7.050079745152463495e+00,1.000513757461955606e+02,8.003485533857690015e+00,4.859136544446974959e+00,1.748524820667429225e+01,5.000056056042853356e+02,9.794895198627955324e-01
5.276737203998345116e+00,4.738415197371584449e-07,1.000000000000000000e+00,1.325513996716962062e+01,1.086404075553271475e+01,1.016888099164303298e+02,1.399938250911567472e+01,4.799273566153286374e+00,1.664846408517443876e+01,5.000147321165138692e+02,9.790402676061829013e-01
5.104905593562892641e+00,2.728320030422306717e-05,1.000000000000000000e+00,1.952122433447852146e+01,7.379525323928882052e+00,1.000016383405471032e+02,1.399662009870341883e+01,4.919711920565510432e+00,1.816893608570342877e+01,5.000150112877985862e+02,9.791873075654025094e-01
5.273601391756334245e+00,1.198234801276215911e-06,1.000000000000000000e+00,1.325557184116176046e+01,1.086452208763702032e+01,1.005537875278534585e+02,1.399978348943226614e+01,4.763972996377130897e+00,9.002663928627287149e+00,5.000020494334154364e+02,9.798026379095623462e-01
4.996871145941039316e+00,1.130465180837966699e+01,1.000000000000000000e+00,1.946837977188972957e+01,7.053688171933936601e+00,1.000106140593615578e+02,1.067309430119303570e+01,4.938320008114347459e+00,1.571170477571109814e+01,5.000071481036549699e+02,9.799857204125156374e-01
5.000925416786055955e+00,1.018908078016065133e+01,1.000000000000000000e+00,1.946997396575133621e+01,7.050662474690683190e+00,1.000512770714512669e+02,1.084576839576524065e+01,4.799161597508908805e+00,1.736313429397723596e+01,5.000157404018819989e+02,9.781752028660630760e-01
5.008877714978574147e+00,7.765695300050913907e+00,1.000000000000000000e+00,1.946888755391929848e+01,7.054804285690346788e+00,1.000022422139906126e+02,1.125569312566434910e+01,4.750824041690797195e+00,1.724163644483120095e+01,5.000100257896667131e+02,9.794892465285591765e-01
4.956600379572038584e+00,2.855644634421485151e+01,1.000000000000000000e+00,1.946905724624820522e+01,7.050540706690604509e+00,1.000065066261357174e+02,8.678733158698204164e+00,4.899589916137908396e+00,1.787970892798730205e+01,5.000013586145279305e+02,9.799706683383169192e-01
4.955109735367511092e+00,2.951402405628331138e+01,1.000000000000000000e+00,1.946919402908064711e+01,7.050706848141431671e+00,1.000020046806689891e+02,8.589475701201495283e+00,4.858208087928665542e+00,1.830376733782617293e+01,5.000170810754765398e+02,9.794865607414053876e-01
5.026746098773617000e+00,3.560292743690667283e+00,1.000000000000000000e+00,1.946669882041221200e+01,7.050954915398352618e+00,1.000024295859112442e+02,1.217816448716620314e+01,4.874529557032158955e+00,1.763216512163480587e+01,5.000031093643652298e+02,9.794831446989344936e-01
4.953081279021832373e+00,3.065877242562465810e+01,1.000000000000000000e+00,1.946859677128812649e+01,7.050626399561743085e+00,1.000200195625662474e+02,8.484740392155917021e+00,4.850746401760086535e+00,1.950911380584762611e+01,5.000099006263969272e+02,9.792691647277093070e-01
4.951589051958139365e+00,3.163141119805495549e+01,1.000000000000000000e+00,1.947128811732289577e+01,7.050749465207778677e+00,1.000466984532366155e+02,8.397114401155565844e+00,4.812454537040461666e+00,1.991968406014696669e+01,5.000325603555720591e+02,9.793701660763701744e-01
4.961238597572662279e+00,2.614238610301730503e+01,1.000000000000000000e+00,1.946905724624820522e+01,7.050529206118559600e+00,1.000059669047573720e+02,8.910618527842235181e+00,4.873546730063026189e+00,1.787970892798730205e+01,5.000018580204463774e+02,9.799688846008025589e-01
4.968451278849730812e+00,2.291816714945158751e+01,1.000000000000000000e+00,1.947106939340188703e+01,7.051772877943935036e+00,1.000388585288822583e+02,9.237599927812201628e+00,4.849753572234268617e+00,1.589588587746856874e+01,5.000103442605944224e+02,9.792044117219542709e-01
5.005735876879095159e+00,8.752372697083776742e+00,1.000000000000000000e+00,1.946888755391929848e+01,7.054833562009219960e+00,1.000481693931571101e+02,1.108144903234428469e+01,4.783364902314025890e+00,1.998194534798851052e+01,5.000809890805838904e+02,9.798013996609992171e-01
4.964457351582262312e+00,2.488055684397959766e+01,1.000000000000000000e+00,1.939996903570449760e+01,7.077114149184685843e+00,1.000067890571714599e+02,9.035917372829107563e+00,4.971533381579668287e+00,1.738760898169978120e+01,5.000399565901487904e+02,9.797443028595460568e-01
4.945014643829623857e+00,3.506125246093567682e+01,1.000000000000000000e+00,1.946852929082846728e+01,7.050541910524952272e+00,1.000046741212147197e+02,8.099117902815919479e+00,4.857023972604746831e+00,1.622272855327818064e+01,5.000072336910985200e+02,9.799640684016143188e-01
5.021174608203722300e+00,4.938878771109749266e+00,1.000000000000000000e+00,1.947121187699487521e+01,7.049770980280429811e+00,1.000159613684920430e+02,1.183243719771984104e+01,4.790085136801744525e+00,1.917136862313978796e+01,5.000435945292860538e+02,9.769274275479394865e-01
5.031424625017288044e+00,2.805313997057586661e+00,1.000000000000000000e+00,1.947128692903317670e+01,7.050737889040323836e+00,1.000280959599350297e+02,1.239805981215821440e+01,4.751175001495158590e+00,1.092966243524001868e+01,5.000153827696337316e+02,9.794888876232424879e-01
4.944081073231025414e+00,3.583702019885799928e+01,1.000000000000000000e+00,1.947021470114317410e+01,7.050750704627966492e+00,1.000336605424520968e+02,8.033646674731244275e+00,4.820406297240498183e+00,1.736947945745015787e+01,5.000019046143680725e+02,9.793940566020739036e-01
5.079191330956309258e+00,7.802265033252710202e-02,1.000000000000000000e+00,2.002931112401887148e+01,6.994100482679796116e+00,1.000336072091579496e+02,1.399997317337896696e+01,4.865343181470390910e+00,8.953088836123830774e+00,5.000170822217696127e+02,9.790533123173487118e-01
5.033425157622247958e+00,2.488604770765858287e+00,1.000000000000000000e+00,1.947128811732289577e+01,7.050721928877749178e+00,1.000415568274169686e+02,1.250017316172112913e+01,4.774555924393125927e+00,1.854206730394304969e+01,5.000012439150915498e+02,9.794956624489755681e-01
4.978727914347362393e+00,1.820249074300317460e+01,1.000000000000000000e+00,1.946520530787593373e+01,7.053827977699502760e+00,1.000117650473102060e+02,9.761524149420390373e+00,4.763554689301022549e+00,1.960604876198760493e+01,5.000226551218847248e+02,9.797025867322931569e-01
