f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8,x9
5.814128368110830891e+00,2.988859307334243809e+01,1.000000000000000000e+00,7.805799829502008791e+00,1.810841409096224552e+01,1.000002831770638636e+02,8.536133983032637929e+00,5.033900549007147340e+00,1.270160025503833623e+01,5.000000051584030416e+02,9.799999872414932867e-01,1.018644361606569859e+01
5.835258155736330998e+00,1.945966554054233555e+01,1.000000000000000000e+00,7.805782630085665197e+00,1.810841552940446775e+01,1.000001481643784302e+02,9.592635108676002886e+00,4.986915197239055964e+00,1.478803137054124583e+01,5.000001235124404388e+02,9.799999242446670866e-01,1.018654826524775814e+01
5.858748590227362385e+00,1.048701826640121304e+01,1.000000000000000000e+00,7.805799923807380303e+00,1.810843632077153842e+01,1.000002554016677578e+02,1.076700683181191742e+01,4.959042744883532805e+00,6.106713855886328091e+00,5.000000335082482934e+02,9.799999356659008232e-01,1.018647638148140011e+01
5.837576130111483685e+00,1.845255655295318675e+01,1.000000000000000000e+00,7.805778764272547576e+00,1.810843934256663701e+01,1.000001724219636259e+02,9.708405528123336126e+00,4.903559013546335166e+00,1.412362418761625449e+01,5.000000682340850062e+02,9.799997350769453774e-01,1.018647638432478963e+01
5.923423508158337292e+00,3.473806480684374365e-02,1.000000000000000000e+00,7.806118208084156684e+00,1.810843890052755967e+01,1.000000702360075593e+02,1.400012205811625776e+01,5.010346538776545344e+00,8.758547815075800713e+00,5.000000344740957416e+02,9.799998623201512382e-01,1.018638146342557782e+01
5.874095993586005093e+00,6.113468013091754472e+00,1.000000000000000000e+00,7.805800347152946017e+00,1.810841476662369942e+01,1.000002946205292602e+02,1.153449696048796014e+01,5.030106642182778032e+00,1.283720695243765597e+01,5.000000199338490461e+02,9.799995991085729274e-01,1.018644778156000363e+01
5.857566034084193518e+00,1.087259587353670831e+01,1.000000000000000000e+00,7.805772532422600385e+00,1.810843915475796351e+01,1.000002035081013361e+02,1.070791573884065961e+01,4.941369207212269465e+00,1.350095070679159903e+01,5.000000410697405187e+02,9.799996638254394599e-01,1.018648616829048947e+01
5.868833558434995545e+00,7.486310655407470094e+00,1.000000000000000000e+00,7.805848775992395794e+00,1.810842492900138012e+01,1.000014039098098522e+02,1.127024689096803378e+01,5.011168081687571885e+00,8.580302051993667689e+00,5.000000352923028686e+02,9.799598411904874018e-01,1.018643663571783442e+01
5.834348848622401107e+00,1.986411055444432350e+01,1.000000000000000000e+00,7.805757738595990425e+00,1.810842485735994245e+01,1.000001436483916706e+02,9.546988633628984644e+00,4.969592539397818420e+00,1.002053036409976805e+01,5.000007488842507541e+02,9.799990043676972684e-01,1.018654845326313207e+01
5.816527781943318764e+00,2.859643521294449187e+01,1.000000000000000000e+00,7.805986912319486493e+00,1.810841414490229440e+01,1.000002287515475530e+02,8.655685685011842878e+00,4.969566450970560822e+00,1.664898736828000736e+01,5.000002034520389884e+02,9.799999041596737515e-01,1.018638593175763063e+01
5.805612431048690070e+00,3.472909391501124077e+01,1.000000000000000000e+00,7.805987305845772717e+00,1.810843734386133974e+01,1.000002826492790433e+02,8.109811798019746831e+00,4.957487975522851364e+00,1.639139251637644179e+01,5.000000422650474547e+02,9.799999079539625235e-01,1.018648554974547693e+01
5.887872348936626032e+00,3.192359125284827126e+00,1.000000000000000000e+00,7.805769084371172006e+00,1.810841309513627806e+01,1.000026739324076175e+02,1.222303996633903367e+01,4.969768428820191097e+00,7.480327509971761657e+00,5.000002464356231258e+02,9.799999219593710231e-01,1.018647295797633667e+01
5.822321782906987764e+00,2.557964885281712952e+01,1.000000000000000000e+00,7.805776759585212332e+00,1.810841300779030050e+01,1.000004333839469268e+02,8.945806228097602286e+00,4.969268408427788053e+00,7.433699419621442317e+00,5.000000322957346270e+02,9.799987592076798704e-01,1.018647833354077648e+01
5.851682741161398305e+00,1.289580073339629784e+01,1.000000000000000000e+00,7.805757848566314827e+00,1.810843743039923481e+01,1.000002910988497575e+02,1.041377244095410859e+01,4.959150239298923069e+00,1.038720873940105704e+01,5.000000651104832059e+02,9.799995962813993211e-01,1.018647420233384615e+01
5.819919507783693824e+00,2.680779182724647214e+01,1.000000000000000000e+00,7.805758396457137316e+00,1.810841523162355315e+01,1.000001432576337095e+02,8.825737871445443972e+00,4.969592539397818420e+00,1.683223355180736647e+01,5.000001134991317713e+02,9.799990497912272058e-01,1.018655629780992911e+01
