f1,f2,feasible,x1,x2,x3,x4,x5,x6,x7,x8
5.033053357375488979e+00,2.295125056743468228e+00,1.000000000000000000e+00,1.967322105697563117e+01,6.971169625943576698e+00,1.000011197438607695e+02,1.256985429975116908e+01,5.029142005235149426e+00,5.803131751828262130e-01,5.000001517244467095e+02,9.799513804810305873e-01
5.045904112447816559e+00,8.738300566023511351e-01,1.000000000000000000e+00,1.967411933024758852e+01,6.971561460704757351e+00,1.000001126722727491e+02,1.320937386961864313e+01,5.008986922384397467e+00,1.096275819783301131e+00,5.000001513903845307e+02,9.799995615241932079e-01
5.067821679041157878e+00,1.739951731449853878e-01,1.000000000000000000e+00,1.982973878683126401e+01,6.971046624737057940e+00,1.000014763267521545e+02,1.399696753712079378e+01,4.986325009814347453e+00,1.533334513017799106e+00,5.000000176178252786e+02,9.799996695146697689e-01
4.986942962931459000e+00,1.421640430078163497e+01,1.000000000000000000e+00,1.967332391514182532e+01,6.971578420645423435e+00,1.000010248734442087e+02,1.026271945997329205e+01,5.026113141143603080e+00,1.974151337109932403e+00,5.000000469037961466e+02,9.799996527191103812e-01
4.961580329980393778e+00,2.530980718314785349e+01,1.000000000000000000e+00,1.967313403015578643e+01,6.971741336336027217e+00,1.000016459865782679e+02,8.993922447984415314e+00,5.013556899411339529e+00,1.228685657752949467e+00,5.000000344937431578e+02,9.799999838824055010e-01
4.984886519258858506e+00,1.497217831043195879e+01,1.000000000000000000e+00,1.967313403015578643e+01,6.971117397240836233e+00,1.000010715295714476e+02,1.016304223426417686e+01,4.984807165474500756e+00,1.438731811134700722e+00,5.000000527080584334e+02,9.799999567145337709e-01
4.993193447408098784e+00,1.195932864189924949e+01,1.000000000000000000e+00,1.967325366957047450e+01,6.971132925782240974e+00,1.000000021643171664e+02,1.057808789552648854e+01,5.026227423999095834e+00,1.085866534718537446e+00,5.000003679898510995e+02,9.799988452291027441e-01
5.019485405319790594e+00,4.709976438905172813e+00,1.000000000000000000e+00,1.967417295948490619e+01,6.971624690628388521e+00,1.000005542082674168e+02,1.188780692879368672e+01,4.963572784713758068e+00,2.578703184810075211e+00,5.000000103865681922e+02,9.799935588088509730e-01
4.991305861649643738e+00,1.261394915345076839e+01,1.000000000000000000e+00,1.967323872716608335e+01,6.971132925782240974e+00,1.000000021643171664e+02,1.048373849241252032e+01,5.026227423999095834e+00,2.432154603463742015e-01,5.000003679898510995e+02,9.799988452291027441e-01
4.999295717493815516e+00,9.968017568884953050e+00,1.000000000000000000e+00,1.967362997639916244e+01,6.971129523684776785e+00,1.000000908319833997e+02,1.088257045137673096e+01,4.937377170298590023e+00,4.195239314760101479e+00,5.000000123696659671e+02,9.799999703867147138e-01
